    entropy_rank    experimental_rank
jws156    6597    6297
centric    4715    4000
esterifi    6951    6499
mir319    6967    6514
k599    4778    4061
readi    4820    4102
foliag    6954    6502
spm    5614    5064
erecta    6950    6498
border    6935    6485
floret    6590    6291
mir399    6603    6303
quinon    4819    4101
boron    5514    4949
brain    5516    4971
esteras    4748    4031
polici    4814    4096
snv    5612    5062
fae1    6952    6500
phytocyanin    5593    5045
spectromet    4842    4121
buseok    6579    6281
planttfdb    5595    5047
plantgrn    4811    4093
explos    4750    4033
fdr    5544    4998
phytotoxin    6606    6306
canescen    6937    6487
irreplac    4776    4059
bx10    6936    6486
bzr1    5518    4973
twist    5625    5075
epoxycarotenoid    4746    4029
momentum    4792    4075
unclassifi    4855    4134
rainf    5604    5054
c24    6580    6282
pipecol    6607    6307
monomer    4793    4076
it182932    5565    5019
fap    5543    4997
unambigu    4854    4133
falcata    5542    4996
phytotox    5594    5046
solar    5613    5063
decid    5533    4988
tua5    5624    5074
plateau    4812    4094
mpk4    5580    5032
specimen    6979    6525
finish    4752    4035
broadleaf    4714    3999
socioeconom    4840    4119
r8    5603    5053
tropospher    5623    5073
journal    5566    5020
missouri    4791    4074
undertak    4857    4136
btb    5517    4972
fidel    4751    4034
solani    4841    4120
exactli    4749    4032
jindou    4777    4060
underground    4856    4135
catalyst    5519    4974
tss    4853    4132
tsss    6618    6317
ferric    6953    6501
heurist    4762    4045
tomentella    5621    5071
chlorophyta    6938    6488
malonyldaidzin    6601    6301
supra    5617    5067
leu    5567    5021
dhar    6586    6288
price    5600    5050
csgp    6942    6491
prey    5599    4951
cryptic    4729    4013
mainstream    4786    4069
tetragonoloba    5619    5069
dig    6943    6492
malectin    5570    4918
textil    4849    4128
cry1    4728    4012
dihydroxi    6944    6493
dimethylallyltransferas    6945    6494
thicker    4850    4129
thailand    6982    6528
dip    6946    6495
crisi    4727    4011
sulfon    4845    4124
prepropeptid    6610    6310
disabl    5536    4991
cpg    5529    4984
covari    4726    4010
mankind    5571    5024
coumestan    6583    6285
discret    4738    4021
marin    5572    5025
precoci    5598    5049
dival    5537    4992
cucurbita    5530    4985
culmin    4730    4014
provinc    4817    4099
surveil    4846    4125
decompos    4734    4018
liu    6963    6511
lm    5568    5022
lmm    6964    6512
dalbergioid    4732    4016
tair    4847    4126
log10    6600    6300
logist    4782    4065
protamin    5601    5051
tan    4848    4127
lsc    6965    6513
denatur    5534    4989
denomin    4735    4019
cytoskelet    6585    6287
syd    6616    6315
lumen    4783    4066
cyp78a    6584    6286
lunatu    4784    4067
luteu    5569    5023
cyanid    5532    4987
desert    5535    4990
lifespan    4781    4064
proteomexchang    4815    4097
destabil    4736    4020
protist    4816    4098
tem    5618    5068
curca    5531    4986
m1    4785    4068
cup    4731    4015
maxima    5573    5026
thin    5620    5070
chr12    6939    6489
endoglucanas    6948    6466
stone    4843    4122
mv    5583    5035
coffea    5526    4981
coevolutionari    5525    4980
elkanii    4740    4023
coalesc    4717    4002
mft    6602    6302
toyomusum    5622    5072
kpa    6598    6298
mice    5577    5029
encourag    4741    4024
tract    6983    6529
endem    4742    4025
polymorpha    5597    5048
citri    5524    4979
launch    4780    4063
qpro    5602    5052
cite    5523    4978
circumv    4716    4001
micropropag    5578    5030
starv    5615    5065
chs7    5522    4977
chronic    5521    4976
endow    4743    4026
chromium    6582    6284
enlighten    4744    4027
enod    6949    6497
kinship    4779    4062
entail    4745    4028
chr7    6581    6283
colibri    5527    4982
command    4718    4003
ef1a    5540    4950
stratospher    5616    5066
cor15a    5528    4983
mcim    5574    5027
ppp    6609    6309
medik    4787    4070
dowl    5538    4993
larval    6599    6299
conquista    6941    6490
pump    4818    4100
mediterranean    5575    5028
confoc    4725    4009
drawn    4739    4022
concomitantli    4724    4008
potyvirus    6970    6517
dsb    5539    4994
dsp    6587    6289
conclusionsoybean    4723    4007
conclusionsgenom    4722    4006
timber    4851    4130
pv04    6971    6518
e10    6947    6496
pv2    6972    6519
pw    6611    6311
conceptu    4721    4005
conceiv    4720    4004
stretch    4844    4123
messagein    4788    4071
streptophyta    6981    6527
tn    6617    6316
compendium    4719    3914
mutmap    5582    5034
mtr    6604    6304
decidu    4733    4017
aftertast    4697    3982
incipi    5561    5015
glm    4753    4036
globular    4754    4037
xylan    5631    5081
xet    6620    6318
gluconeogenesi    5548    5002
glucosinol    6956    6504
assur    4704    3989
reloc    4824    4106
reus    5606    5056
hsp40    5557    5011
outcross    5588    5040
affrc    4696    3981
retin    6612    6312
inabl    4767    4050
asset    4703    3988
serial    4834    4114
asp    4702    3987
saccharif    6975    6521
huachun    5558    5012
ascrib    4701    3986
adenin    4695    3980
pesticid    4809    4091
au    4705    3990
shield    6978    6524
inferior    5562    5016
basin    5513    4952
oxoglutar    4801    4084
infanc    4768    4051
accommod    5504    4962
bare    4707    3992
bake    5512    4970
acidif    5505    4963
bacillu    4706    3991
pari    5589    5041
nois    5586    5038
aza    5511    4969
shell    4836    4116
reject    4823    4105
homoeologu    6596    6296
overli    4800    4083
yangtz    4865    4143
shat1    6615    6314
peanutbas    6605    6305
aw    5510    4968
arrow    5509    4967
salicacea    6976    6522
shoryu    5611    5061
impetu    4766    4049
willd    4864    4142
wildtyp    6984    6530
allen    5506    4964
im    4765    4048
pentakisphosph    4808    4090
went    4863    4141
ant    5507    4965
sc4    6614    6313
script    4831    3913
annuum    6575    6278
gmcry1    6957    6505
gmcry1b    6958    6506
hypoallergen    5560    5014
pdat    6969    6516
scion    5610    5060
alongsid    4699    3984
gmfatb1a    5554    5008
pearson    4807    4089
oh    5587    5039
request    4825    4107
icc    6962    6510
hydroxyprolin    5559    5013
gmrbohb    6593    6293
gm19    4756    4039
gm06    5551    5005
graviti    6960    6508
arboretum    5508    4966
semiarid    4833    4113
grand    4757    4040
nourish    4798    4081
gm02    5549    5003
gp    6595    6295
gm03    4755    4038
gm04    5550    5004
pathotyp    5590    5042
opt    4799    4082
resultsbi    4826    4108
gm14    5552    5006
satisfactori    4830    3912
ahead    4698    3983
gm16    5553    5007
sector    4832    4112
gmtip    6594    6294
satt334    6977    6523
apetala    4700    3985
harsh    4758    4041
sharpli    4835    4115
bay    4708    3993
inra    4771    4054
integras    5564    5018
phosphotransferas    4810    4092
instruct    5563    5017
zml    6622    6320
instantan    4773    4056
paleo    4805    4087
hindranc    4763    4046
biofortifi    4711    3996
recur    4822    4104
g4dt    6591    6292
inspir    4772    4055
p5c    4802    4085
roll    5609    5059
upward    4860    4139
gag    5546    5000
simplic    4839    4118
ureolyt    5627    5077
simpleprob    4838    4117
ricinu    4827    4109
biggest    4710    3995
phosphorelay    5591    5043
zn2    4866    4144
paleogenom    4806    4088
rigid    4828    4110
rin4    5608    5058
union    4858    4137
heterotrim    4761    4044
hexokinas    6961    6509
fpc    6955    6503
unlock    4859    4138
mycorrh    4795    4078
hexos    5556    5010
hereditari    5555    5009
birk    4713    3998
riken    4829    4111
nannong1138    4796    4079
bipartit    4712    3997
unsupervis    5626    5076
n24852    5584    5036
recipi    5605    5055
recognis    4821    4103
rigor    5607    5057
frost    5545    4999
intensifi    4774    4057
nanj    6968    6515
galactosyltransferas    5547    5001
gmhapmap    6959    6507
utmost    4861    4140
inject    4770    4053
beach    6576    6268
hitherto    4764    4047
hefeng    4760    4043
paint    4804    4086
paid    4803    3911
v2_0    5630    5080
bestkeep    4709    3994
neighbour    5585    5037
abstractphosphoru    4694    3979
inflammatori    4769    4052
necess    4797    4080
zheng    6621    6319
heatmap    4759    4042
row    6973    6520
v1_0    5629    5079
uslp    5628    5078
bel1    6577    6279
zeaxanthin    6985    6531
ontogeni    5354    4611
oncogen    6738    6127
cyamopsi    5223    4484
programmat    5381    4638
aldolas    5169    4434
wish    5453    4706
tediou    5436    4689
macrophag    5331    4588
palaeopolyploid    5357    4614
conting    5219    4480
conjoint    6659    6050
prohibitin    5382    4639
zhu    6799    6188
ppm    6749    6138
yfp    5458    4711
macrocycl    6718    6107
thymin    6780    6169
conclusionsus    5217    4478
lipopolysaccharid    5325    4582
ddbj    5226    4487
zero    5459    4712
oligogen    6736    6125
abstractse    5163    4429
daytim    5225    4486
lysophospholipid    5329    4586
danger    5224    4485
macromolecul    5330    4587
alloster    6634    6026
ome    6737    6126
pp    6748    6137
zygomorphi    6800    6189
confound    5218    4479
acetylglucosamin    5164    4430
a3    6629    6021
macromolecular    6719    6108
patholog    5360    4617
longev    5326    4583
xerophyt    6796    6185
cyclophilin    6660    6051
preprocess    5379    4636
zhongpin03    5461    4714
abrupt    6630    6022
pastori    5359    4616
afternoon    6632    6024
pale    6742    6131
xiaoheid    6797    6186
tetramer    5437    4690
passiv    5358    4615
profus    5380    4637
probabilist    6750    6139
outstand    5356    4613
aerob    5166    4431
xenobiot    5457    4710
abstracta    5162    4428
th    5438    4691
wyandot    5456    4709
cyp72a69    6661    6052
outlook    6740    6129
patch    6743    6132
agglutinin    6633    6025
worthi    5455    4708
orthophosph    5355    4612
loti    5327    4584
malonaldehyd    5333    4590
orthogon    6739    6128
cor47    5220    4481
preclud    5378    4635
cornerston    5221    4482
agrochem    5168    4433
adam    6631    6023
coronari    5222    4483
agri    5167    4432
mainland    5332    4589
worm    5454    4707
marchantia    5335    4592
zhongdou    5460    4713
lysat    5328    4585
mar    6720    6109
d14    6662    6053
y1h    6798    6187
outward    6741    6130
man    5334    4591
uninvestig    5446    4699
conclusionsther    5216    4477
phenyl    6746    6135
tryptic    5442    4695
misuzudaizu    6727    6116
bayfield    6640    6032
bc3f2    6641    6033
bcat    6642    6034
nfr1α    6730    6119
plantlet    5375    4632
begomoviru    6643    6035
carboxi    5193    4454
mmol    6728    6117
campestri    5192    4404
bell    6644    6036
molybdenum    5344    4601
phosphatidylcholin    5369    4626
calorimetri    5191    4453
trx    6787    6176
cauliflow    5194    4455
certainli    5195    4456
troubl    6786    6175
atnhx1    6639    6031
mir319a    6725    6114
cdcl2    6653    6044
nonhomolog    5350    4607
vesca    6791    6180
nn94156    6731    6120
plex    5377    4634
phaseoli    6745    6134
miscanthu    6726    6115
trisphosph    6784    6173
triticea    6785    6174
plausibl    5376    4633
vc1973a    6790    6179
barcsoyssr_1_0    5179    4441
baselin    5180    4442
callus    5190    4452
beverag    5181    4443
usabl    5450    4703
caffeoyl    5189    4451
broom    6648    6040
nac1    5348    4605
unequivoc    5444    4697
biphas    5184    4446
bird    5185    4447
unrecogn    5448    4701
bradyrhizobia    6647    6039
unfavour    5445    4698
physico    5372    4629
unpublish    5447    4700
multipurpos    5347    4604
blast2go    5186    4448
phyb    5371    4628
uniport    6788    6177
boom    6646    6038
bryophyta    6649    6041
motion    5346    4603
nanotechnolog    5349    4606
bin2    6645    6037
pink    5374    4631
url    5449    4702
monoterpen    6729    6118
monoval    5345    4602
unannot    5443    4696
uredinia    6789    6178
pi342618b    5373    4630
photoassimil    5370    4627
bioethanol    5182    4444
biomed    5183    4445
butyr    5188    4450
phosphosulf    6747    6136
bulg    6651    6043
buff    6650    6042
pervas    5368    4625
vine    6792    6181
conclusionstaken    5215    4476
metalloenzym    6721    6110
metallothionein    5338    4595
tokei    6783    6172
coincident    5210    4471
coimmunoprecipit    5209    4470
aphidida    5172    4437
cohes    5208    4469
methan    5339    4596
mexican    6723    6112
cocoa    5207    4468
api    5173    4438
blueprint    5187    4449
cloud    5206    4467
client    5205    4466
percentil    5361    4618
mh    6724    6113
metalloproteas    6722    6111
column    5211    4472
cheap    5196    4457
nts1116    6735    6124
amin    6635    6027
amoebozoa    6636    6028
ampl    5170    4435
timepoint    6781    6170
messagean    5336    4593
occup    5353    4610
concaten    5214    4475
titer    6782    6171
titl    5439    4692
anova    5171    4436
complementar    5213    4474
messageus    5337    4594
comment    5212    4473
nucleolu    5352    4609
antirrhinum    6637    6029
apoptot    5174    4439
clavata1    5204    4465
clarif    5203    4464
ward    5452    4705
vitacea    6793    6182
chr11    6656    6047
millettia    5341    4598
chorism    6655    6046
cholesterol    5198    4459
mimick    5342    4599
peroxiredoxin    5365    4622
chinensi    6654    6045
vision    5451    4704
mimicri    5343    4600
persica    5366    4623
travers    5441    4694
chenopodium    5197    4458
nonprotein    6732    6121
pertin    5367    4624
nonspecif    5351    4608
vol    6794    6183
chromatograph    5199    4460
perman    6744    6133
citrullu    6658    6049
arabica    6638    6030
citric    5202    4463
peribacteroid    5362    4619
peripheri    5363    4620
arguabl    5176    4440
nonvascular    6733    6122
milk    5340    4597
transaminas    5440    4693
circl    5201    4462
cinnamyl    5200    4461
permeas    5364    4621
chs3    6657    6048
vrn1    6795    6184
nrt1    6734    6123
tas3    6779    6168
decoy    6663    6054
reshuffl    5401    4656
solubil    5422    4676
puzzl    6753    6142
lablab    6714    6103
dye    5244    4504
geraniol    6684    6075
pv09    6754    6143
irrevers    5306    4563
labil    6713    6102
hypo    6699    6088
l5    6712    6101
easier    5245    4505
scalabl    5412    4667
fayett    5264    4522
strict    5429    4683
hzzb011    6700    6089
isobar    5307    4564
icc4958    6701    6090
schachtii    6766    6155
edger    5246    4506
l29    5314    4571
pyridin    6755    6144
gmftl3    6691    6082
streak    5428    4682
pyrimidin    5388    4644
l2    5313    4570
germlin    6685    6076
pyrophosphorylas    6756    6145
isomer    6709    6098
ku    6711    6100
fe2    5265    4523
sc15    6765    6154
q20    6757    6146
inevit    6705    6094
doi    5238    4499
gov    5281    4539
registr    6760    6149
dominantli    5239    4500
socio    5421    4675
rd29b    5394    4649
door    5240    4501
resultsanalysi    5404    4659
invertebr    5304    4561
shot    6770    6159
fig    6677    6068
subsist    5431    4685
doubt    5241    4502
suboptim    5430    4684
submiss    6777    6166
restrain    5403    4658
drain    5242    4503
larsen    5315    4572
softer    6773    6162
serum    5416    4670
ip    5305    4562
ipomoea    6708    6097
drift    5243    4405
reson    5402    4657
infecti    5298    4555
droplet    6669    6060
shortcom    5417    4671
pusa    5386    4642
push    5387    4643
q14    5389    4645
elaei    5247    4507
shrub    5418    4672
glyoxyl    5279    4537
extremophil    6674    6065
keyword    5311    4568
epimeras    5254    4513
extraordinarili    5262    4520
glyma10g36600    6690    6081
glyma1    6689    6080
equat    5255    4514
glean    5277    4535
que    6758    6147
ere    5256    4515
erect    5257    4516
remot    5399    4654
glycosylphosphatidylinositol    6688    6079
escal    6672    6063
glomu    5278    4536
sporad    5426    4680
spacer    5424    4678
quiescent    5391    4647
esr    5259    4517
glu    6686    6077
exo70    6673    6064
jun    5310    4567
jump    5309    4566
spermatophyt    6774    6163
reliev    6761    6150
radial    5393    4648
glycinina    6687    6078
evinc    5260    4518
evok    5261    4519
khco3    5312    4569
envisag    5253    4512
icp    6702    6091
f6h    6675    6066
ideotyp    6703    6092
fam94    6676    6067
elegan    5248    4508
reportedli    5400    4655
sdh    6767    6156
iid    5294    4551
ill    5295    4552
sound    5423    4677
sthe    5427    4681
qi    5390    4646
endang    6670    6061
isotherm    5308    4565
endoderm    6671    6062
sheath    6769    6158
endodermi    5249    4509
seca    6768    6157
facil    5263    4521
static    6776    6165
knob    6710    6099
starchi    6775    6164
secondli    5414    4668
incur    5297    4554
increment    5296    4553
immunoglobulin    6704    6093
sedentari    5415    4669
endotransglucosylas    5250    4510
gm10    5280    4538
endotransglycosylas    5251    4511
enigmat    5252    4406
resultsthre    5405    4660
lap    6715    6104
specialti    5425    4679
hematoxylin    5284    4542
delici    5228    4489
deliber    5227    4488
gapit    5274    4532
devot    5231    4492
hemiptera    5285    4543
dehydroascorb    6666    6057
linn    5323    4580
fu    6680    6071
provis    5384    4640
fortifi    5270    4528
forthcom    5269    4527
lip    6717    6106
infrequ    5300    4557
suppos    5435    4688
halophyt    5282    4540
like1    5321    4578
homoglutathion    6697    6086
hemispher    5286    4544
lettuc    6716    6105
gaussian    5275    4533
dichlorophenoxyacet    5233    4494
prr7    6752    6141
default    6665    6056
liaodou14    5317    4574
homodim    5292    4550
formid    5268    4526
galactosyl    6681    6072
ribonucleas    5407    4662
fri    5271    4529
like15    5322    4579
recapitul    5396    4651
interior    6706    6095
denser    5229    4490
skp    6771    6160
deoxyribonucl    5230    4491
hco3    5283    4541
lignan    5320    4577
galactolipid    5273    4531
interdepend    5301    4558
hologalegina    5290    4548
rhizoctonia    6762    6151
homeot    5291    4549
frogey    5272    4530
reassembl    5395    4650
ligat    5319    4576
interpro    6707    6096
redirect    5397    4652
proteobacteria    6751    6140
licens    5318    4575
subtrib    6778    6167
smith    6772    6161
diagram    5232    4493
diesel    5234    4495
hen1    5288    4546
sip    5420    4674
runner    5410    4665
dipeptid    5236    4497
hemoglobin    5287    4545
regen    5398    4653
suck    5433    4686
flavin    6678    6069
deem    6664    6055
htg    6698    6087
ry    5411    4666
gaut1    6682    6073
s1    6763    6152
floodwat    6679    6070
disc    6667    6058
pspg    5385    4641
disciplinari    5237    4498
sibl    5419    4673
infrastructur    5299    4556
fleshi    5266    4524
refractori    6759    6148
lipo    5324    4581
intim    5303    4560
summaris    5434    4687
formal    5267    4525
divert    6668    6059
gbp    5276    4534
interven    5302    4559
digen    5235    4496
revisit    5406    4661
legumefeder    5316    4573
succeed    5432    4407
h1246    6696    6085
gun    6695    6084
gum    6694    6083
road    5408    4663
gbrows    6683    6074
roadmap    5409    4664
salient    6764    6153
hijack    5289    4547
nonexpressor    6260    5518
glycat    6107    5366
nonrandom    6262    5520
assort    5939    5200
petunia    6292    5550
ga1    6096    5355
bioengin    5963    5223
uracil    6483    5739
sir2    6388    5645
phosphorylas    6296    5554
g4    6095    5354
relay    6338    5595
autofocus    5945    5206
nong    6261    5519
sinpald    6387    5644
virgatum    6488    5744
atac    5941    5202
setaria    6378    5635
fusca3    6094    5353
atdd45    5942    5203
setup    6379    5636
instal    6162    5420
bioinform    5964    5224
viridula    6489    5745
glasshous    6106    5365
gl3    6105    5364
asynchron    5940    5201
atrd29a    5943    5204
inappropri    6153    5411
recreat    6336    5593
incongru    6154    5412
aulacorthum    5944    5205
sesamum    6377    5634
autoimmun    5946    5207
bcl    5955    5216
nomin    6259    5517
reffind    6337    5594
shine    6381    5638
bahd    5952    5213
gerdemann    6102    5361
ninth    6252    5510
geranylgeranyl    6101    5360
nih    6251    5509
signalosom    6384    5641
benzylaminopurin    5958    5219
benzyl    5957    5218
geometri    6100    5359
nifh    6250    5508
netcommon    6248    5506
nezara    6249    5507
gcn4    6099    5358
phomopsi    6295    5553
shortest    6382    5639
v3_0    6485    5741
batch    5953    5214
phoenix    6294    5552
infertil    6157    5415
bee    5956    5217
bbx    5954    5215
phenylpropan    6293    5551
influenti    6158    5416
shrink    6383    5640
ingest    6159    5417
vehicl    6486    5742
gigant    6104    5363
nitro    6253    5511
urban    6484    5740
autotroph    5947    5208
biodegrad    5962    5222
panax    6280    5538
ga4    6097    5356
await    5948    5209
bimod    5961    5221
gibberella    6103    5362
insolubl    6161    5419
awar    5949    5210
nn86    6258    5516
nlm    6257    5515
indicum    6155    5413
shen    6380    5637
nitrosocystein    6256    5514
vermiculit    6487    5743
galacturonosyltransferase1    6098    5357
silic    6385    5642
biallel    5960    5220
b5    5950    5211
b73    5951    5212
inhabit    6160    5418
necessarili    6247    5505
indistinguish    6156    5414
nitros    6254    5512
nitroso    6255    5513
antinutri    5928    5189
inadequaci    6152    5410
resurg    6348    5605
retrograd    6349    5606
outgrowth    6273    5531
ruptur    6366    5623
admixtur    5916    5178
xanthin    6500    5755
xanthocera    6501    5756
administr    5915    5177
xian    6502    5757
xiao    6503    5758
reviv    6350    5607
adhes    5914    5176
honeycomb    6136    5394
homozygot    6135    5393
h8    6128    5386
h9    6129    5387
rs    6365    5622
overgo    6274    5532
hu    6137    5395
resultw    6347    5604
aspergillu    5938    5199
saen    6367    5624
withhold    6498    5753
pauciti    6284    5542
resultsal    6343    5600
resultsbas    6344    5601
women    6499    5754
gong    6124    5152
ordinari    6271    5529
sapien    6368    5625
resultsfrom    6345    5602
huanghuai    6138    5396
ago2    5917    5179
resultstranscriptom    6346    5603
gregor    6125    5383
oryzacystatin    6272    5530
gretchen    6126    5384
groundbreak    6127    5385
pastur    6283    5541
acuminata    5913    5175
parsley    6282    5540
actinomycet    5912    5174
rrblup    6364    5621
zhengyang    6505    5760
ribonucleotid    6353    5610
zhongdou27    6506    5761
abstractboth    5907    5169
zhonghuang24    6507    5762
zhongpin    6508    5763
ribulos    6354    5611
richest    6355    5612
rose    6358    5615
ridg    6356    5613
abi1    5906    5168
panoram    6281    5539
robustli    6357    5614
abcc    5905    5167
abbrevi    5904    5166
zrt    6509    5764
paleohistori    6279    5537
hmmer    6134    5392
rpd3    6359    5616
abstractdrought    5908    5170
overus    6276    5534
rps6    6363    5620
overproduct    6275    5533
rps5    6362    5619
rps4    6361    5618
rps1b    6360    5617
rhamnosyltransferas    6351    5608
acetolact    5911    5173
oxaloacet    6277    5535
hda1    6132    5390
ysl7    6504    5759
acacia    5910    5172
hardi    6130    5388
p5cr    6278    5536
rhizom    6352    5609
hd2    6131    5389
abstractflow    5909    5171
orbitrap    6270    5528
oral    6269    5527
husbandri    6139    5397
biophys    5965    5225
glyma03g32900    6114    5373
perimet    6288    5546
walk    6491    5747
imperfect    6150    5408
northeastern    6263    5521
immunostain    6149    5407
notori    6264    5522
warmer    6492    5748
seldom    6374    5631
appeal    5930    5191
immunophilin    6148    5406
gm07    6115    5374
renown    6339    5596
gm11    6116    5375
peptidom    6287    5545
immuno    6147    5405
imbalanc    6146    5404
archer    5931    5192
sensat    6375    5632
arf8    5932    5193
ascertain    5935    5196
imprint    6151    5409
asid    5937    5198
glycogen    6108    5367
asexu    5936    5197
glycogenin    6109    5368
glycolipid    6110    5369
peronospora    6291    5549
glycom    6111    5370
perl    6289    5547
vp1    6490    5746
arriv    5934    5195
arrhythmo    5933    5194
permut    6290    5548
sequenom    6376    5633
glycopeptid    6112    5371
glycophyt    6113    5372
antiqu    5929    5190
searchabl    6373    5630
gmskor    6123    5382
anticanc    5927    5188
schema    6369    5626
amid    5923    5184
amebocyt    5922    5183
ib    6143    5401
gmifs2    6120    5379
gmmax2    6121    5380
gmnhx1    6122    5381
omnibu    6268    5526
wilczek    6497    5752
reshap    6341    5598
alkyl    5921    5182
hypernodul    6142    5400
aliphat    5920    5181
resin    6342    5599
hyoukei    6141    5399
hydropathi    6140    5398
aldo    5919    5180
schmutz    6370    5627
wherev    6496    5751
ampholyt    5924    5185
wet    6494    5749
nurs    6265    5523
repertori    6340    5597
objectiveto    6266    5524
sea    6372    5629
objetivo    6267    5525
pen3    6286    5544
pen2    6285    5543
wgb    6495    5750
gmft2b    6119    5378
scrutin    6371    5628
icimap    6145    5403
anemia    5926    5187
ananassa    5925    5186
icim    6144    5402
gmfad3b    6117    5376
gmfad3c    6118    5377
reconcili    6335    5592
undetermin    6470    5726
biopolym    5966    5226
purpureu    6325    5583
meantim    6215    5473
dou    6048    5307
punctat    6324    5582
submatric    6418    5674
drawback    6049    5308
lam    6192    5450
laevi    6191    5449
conclusionswith    6011    5270
conclusionsto    6010    5269
e2f    6050    5309
tie    6453    5709
student    6417    5673
merola    6216    5474
putrescin    6326    5584
conclusionsgen    6009    5268
conclusionscollect    6008    5267
potyvirida    6308    5566
timefram    6454    5710
meant    6214    5472
lathyru    6193    5451
latin    6194    5452
thorn    6452    5708
disconnect    6042    5301
pterocarpan    6323    5581
manshurica    6213    5471
dispens    6043    5302
disregard    6044    5303
thermo    6449    5705
leap    6196    5454
preciou    6310    5568
leader    6195    5453
docosahexaeno    6045    5304
dolichocarpa    6046    5305
think    6450    5706
thioester    6451    5707
pragmat    6309    5567
cop9    6013    5272
dong    6047    5306
convey    6012    5271
potenc    6307    5565
titanium    6455    5711
malvacea    6212    5470
climb    6003    5262
stk    6414    5671
meyer    6222    5480
qb    6327    5585
kr    6189    5447
embl    6059    5318
torrent    6457    5713
embrac    6060    5319
mg2    6223    5481
emit    6061    5320
eat    6051    5310
clearer    6002    5261
steric    6413    5670
kog    6188    5446
microbiolog    6224    5482
endeavor    6062    5321
microel    6225    5483
claim    6001    5260
statur    6412    5669
methylsulfon    6221    5479
methylerythritol    6220    5478
stochast    6415    5672
tongshan    6456    5712
messagegenet    6217    5475
messageidentif    6218    5476
con    6007    5266
comt    6006    5265
echo    6052    5311
ecotil    6053    5312
competitor    6005    5264
companion    6004    5263
postinocul    6306    5564
posterior    6305    5563
eep558    6054    5313
eggplant    6055    5314
metalloproteinas    6219    5477
kuro    6190    5448
egyptian    6056    5315
eicosapentaeno    6057    5316
eicoseno    6058    5317
left    6197    5455
coval    6014    5273
unwant    6482    5738
cytomembran    6028    5287
longitudin    6206    5464
love    6207    5465
demarc    6034    5293
sydow    6431    5687
heterotroph    6133    5391
proceed    6314    5572
swollen    6430    5686
procambium    6313    5571
cytokinesi    6027    5286
cyanidioschyzon    6024    5283
lumin    6208    5466
cyp93c    6026    5285
swine    6429    5685
swiftli    6428    5684
cyp450    6025    5284
protein2    6319    5577
proteinac    6320    5578
swe    6427    5683
delv    6033    5292
symmetr    6432    5688
lolium    6205    5463
delug    6032    5291
synthase1    6434    5690
promptli    6317    5575
promotor    6316    5574
livelihood    6203    5461
darwinian    6030    5289
tabul    6435    5691
tabular    6436    5692
promiscu    6315    5573
taeda    6437    5693
propel    6318    5576
lob    6204    5462
synerg    6433    5689
limulu    6202    5460
tal    6438    5694
daepung    6029    5288
like2    6201    5459
taller    6439    5695
priori    6312    5570
descriptionw    6035    5294
crassulacean    6015    5274
dimethyl    6040    5299
lesson    6200    5458
tetratricopeptid    6445    5701
press    6311    5569
legumeinfo    6199    5457
crucif    6020    5279
crosslink    6019    5278
tgacg    6446    5702
tgm1    6447    5703
legumain    6198    5456
susten    6426    5682
sulphur    6420    5676
thale    6448    5704
malonyltransferas    6211    5469
sulfhydrylas    6419    5675
cretac    6018    5277
disappear    6041    5300
cress    6017    5276
credibl    6016    5275
tetranychu    6444    5700
digbio    6039    5298
superimposit    6421    5677
die    6038    5297
suspensor    6425    5681
proto    6321    5579
desulfhydras    6036    5295
protospac    6322    5580
temporari    6440    5696
m4    6209    5467
cultura    6023    5282
cultigen    6022    5281
surpass    6424    5680
ctab    6021    5280
surg    6423    5679
suprem    6422    5678
ternari    6441    5697
dialogu    6037    5296
magnet    6210    5468
testabl    6442    5698
testcross    6443    5699
knowledgebas    6187    5445
station    6411    5668
micropylar    6226    5484
broadest    5976    5236
feral    6083    5342
ferrou    6084    5343
fertilis    6085    5344
underscor    6468    5724
fight    6086    5345
mountain    6241    5499
bromid    5977    5237
undertook    6469    5725
bright    5975    5235
unfamiliar    6471    5727
societ    6394    5651
dedifferenti    6031    5290
breakag    5974    5234
phytochelatin    6299    5557
flag    6087    5346
intraspeci    6170    5428
intraradic    6169    5427
physiol    6298    5556
iq67    6171    5429
underexplor    6467    5723
bw69    5978    5238
phytyltransferas    6300    5558
umbil    6462    5718
isopentenyl    6173    5431
unaccept    6463    5719
unaddress    6464    5720
sos1    6396    5653
familiar    6080    5339
fao    6081    5340
unassembl    6465    5721
mont    6240    5498
unavoid    6466    5722
pichia    6303    5561
picea    6302    5560
pi489777    6301    5559
isom    6172    5430
c16    5979    5239
somehow    6395    5652
fasta    6082    5341
intragen    6168    5426
intrachromosom    6167    5425
endotheli    6063    5322
unroot    6479    5735
unnecessari    6475    5731
unpair    6476    5732
unplac    6477    5733
intermediari    6165    5423
unpredict    6478    5734
interdisciplinari    6164    5422
myristoyl    6246    5504
froger    6092    5351
biotinyl    5968    5228
snf1    6393    5650
unsuccess    6480    5736
skew    6391    5648
untarget    6481    5737
sizeabl    6390    5647
intent    6163    5421
sitosterol    6389    5646
biosafeti    5967    5227
fumig    6093    5352
unload    6474    5730
myb84    6245    5503
my    6244    5502
unless    6473    5729
botryti    5973    5233
flower1    6088    5347
multinucl    6242    5500
borkh    5972    5232
foodstuff    6089    5348
forefront    6090    5349
